2023-05-20 13:00:49:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.48e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-20 13:10:47:hist_0_v0_00: p=11422: cost=0.2944525480270386 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 13:20:53:hist_0_v0_00: p=11422: cost=0.2944525480270386 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 13:31:05:hist_0_v0_00: p=11422: cost=0.2944525480270386 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 13:41:15:hist_0_v0_00: p=11422: cost=0.2944522202014923 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.554e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 13:51:29:hist_0_v0_00: p=11422: cost=0.2945367991924286 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 315.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 14:01:40:hist_0_v0_00: p=11422: cost=0.2945367991924286 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.4515, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 14:11:50:hist_0_v0_00: p=11422: cost=0.29446977376937866 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.00525, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 14:22:07:hist_0_v0_00: p=11422: cost=0.2944525480270386 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 14:32:20:hist_0_v0_00: p=11422: cost=0.2944315969944 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.0105, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 14:42:34:hist_0_v0_00: p=11422: cost=0.2944362461566925 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.0105, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-20 14:52:49:hist_0_v0_00: p=11422: cost=0.2944892346858978 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.63, 'b': 1.066, 'c': 1.0}
2023-05-20 15:03:08:hist_0_v0_00: p=11422: cost=0.29240691661834717 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.48e-05, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.1193000000000002, 'c': 1.0}
