2023-05-23 01:22:38:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 0.00099, 0.01, 0.01]
2023-05-23 01:31:36:hist_3_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-23 01:40:40:hist_3_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-23 01:49:52:hist_3_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-23 01:58:55:hist_3_v0_00: p=11422: cost=0.29580432176589966 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-23 02:08:01:hist_3_v0_00: p=11422: cost=0.2958381175994873 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.0105, 'mu_D_180': 0.01}
2023-05-23 02:17:10:hist_3_v0_00: p=11422: cost=0.29575207829475403 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.0105}
2023-05-23 02:26:24:hist_3_v0_00: p=11422: cost=0.2957472801208496 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009939999999999997, 'mu_D': 0.0095, 'mu_D_180': 0.010200000000000002}
2023-05-23 02:35:35:hist_3_v0_00: p=11422: cost=0.2956939935684204 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009959999999999995, 'mu_D': 0.008999999999999998, 'mu_D_180': 0.010300000000000004}
2023-05-23 02:44:47:hist_3_v0_00: p=11422: cost=0.2957374155521393 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009964000000000002, 'mu_D': 0.0096, 'mu_D_180': 0.010320000000000005}
2023-05-23 02:53:56:hist_3_v0_00: p=11422: cost=0.29571232199668884 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009989600000000001, 'mu_D': 0.009440000000000002, 'mu_D_180': 0.010448000000000004}
2023-05-23 03:03:09:hist_3_v0_00: p=11422: cost=0.29568615555763245 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.009216, 'mu_D_180': 0.010627200000000005}
2023-05-23 03:12:22:hist_3_v0_00: p=11422: cost=0.2956222593784332 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.008824000000000002, 'mu_D_180': 0.010940800000000007}
2023-05-23 03:21:43:hist_3_v0_00: p=11422: cost=0.295613169670105 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009925439999999997, 'mu_D': 0.008745600000000001, 'mu_D_180': 0.011003520000000008}
2023-05-23 03:30:58:hist_3_v0_00: p=11422: cost=0.29552599787712097 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009888159999999996, 'mu_D': 0.008118400000000001, 'mu_D_180': 0.01150528000000001}
